Trimble_MAPS_StreetAddress,Trimble_MAPS_City,Trimble_MAPS_State,Trimble_MAPS_PostalCode
2426 Wadhams Road,Smiths Creek,MI,48074
Main Street  (MN-101),Rogers,MN,55374
1303 Route 45,Cloquet,MN,55720
Roosevelt Road  (Route 75),Saint Cloud,MN,56301
48 Hillside Terrace,Moose Lake,MN,55767
I-35,Albert Lea,MN,56007
"US-169, MN-60",Mankato,MN,56001
8099 Bagley Avenue  (Route 46),Northfield,MN,55057
11482 Courthouse Boulevard,Inver Grove Heights,MN,55077
2716 East Main Street  (Route 46),Albert Lea,MN,56007
2921 34th Avenue West,Alexandria,MN,56308
20075 Edison Circle,Clearwater,MN,55320
25743 Hickory Street,Bevier,MO,63532
4504 Easton Road,Saint Joseph,MO,64503
"I-70, US-40",Foristell,MO,63348
764 East Carrie Avenue,Saint Louis,MO,63147
303 Southwest 1st Street  (Old US-40),Oak Grove,MO,64075
Southeast 1st Street  (Old US-40),Oak Grove,MO,64075
South Commercial Street,Harrisonville,MO,64701
5826 East 32nd Street  (MO-FF),Joplin,MO,64804
I-44,Strafford,MO,65757
MO-80,Matthews,MO,63867
700 MO-J,Peculiar,MO,64078
863 North Loop Drive,Sullivan,MO,63080
South Service Road West  (Old US-40),Warrenton,MO,63383
Fore Drive,Wayland,MO,63472
313 East Evergreen Street,Strafford,MO,65757
Molly's Street,Pacific,MO,63069
732 West Mt Vernon Boulevard  (Business I-44),Mount Vernon,MO,65712
4342 MO-43,Joplin,MO,64804
Johnson Drive,Nevada,MO,64772
"I-70, US-40",Concordia,MO,64020
MO-80,Matthews,MO,63867
Gold Road,Kingdom City,MO,65262
Broadview Place,Springfield,MO,65802
MO-19,New London,MO,63459
2490 Rochester Street,Kansas City,MO,64120
State Highway EE,Portageville,MO,63873
8801 Northeast Birmingham Road,Kansas City,MO,64161
Cedar Drive,Joplin,MO,64804
MO-370,Bridgeton,MO,63044
138 Larcel Drive,Sikeston,MO,63801
MO-80,Matthews,MO,63867
509 Shanks Avenue,Kearney,MO,64060
"US-60, US-62, MO-77",Charleston,MO,63834
"I-44, MO-43",Joplin,MO,64804
"West Ashley Road  (US-40, MO-5)",Boonville,MO,65233
MO-84,Hayti,MO,63851
6454 MO-13,Higginsville,MO,64037
9868 MO-13,Collins,MO,64738
Hy Point Industrial Drive  (MO-V),Rolla,MO,65401
"MO-86, Business I-49, Business MO-71",Neosho,MO,64850
Enterprise Road,Bloomsdale,MO,63627
"15689 West Ashley Road  (US-40, MO-5)",Boonville,MO,65233
18098 East State Highway N,Eagleville,MO,64442
Russell Mt Gilead Road,Meridian,MS,39301
1115 US-82,Indianola,MS,38751
539 Tuscaloosa Road  (MS-50),Columbus,MS,39702
9240 County Farm Road,Gulfport,MS,39503
6038 Lake Norris Road,Lake,MS,39092
Canal Road,Gulfport,MS,39503
11064 Business Center Drive,Olive Branch,MS,38654
1250 US-80,Pearl,MS,39208
Southwest Frontage Road,Winona,MS,38967
Zachary Taylor Parkway  (MS-26),Poplarville,MS,39470
Goodwater Road Northwest,Magee,MS,39111
4835 Amaco Road,Moss Point,MS,39563
Lagoon Road,West Point,MS,39773
909 Cedar Lake Road,Biloxi,MS,39532
US-49,Pearl,MS,39208
Norfleet Drive  (MS-4),Senatobia,MS,38668
717 MS-35,Batesville,MS,38606
1122 Airport Fernwood Road,McComb,MS,39648
113 Will Garrett Road,Toomsuba,MS,39364
1664 Tommy Webb Drive,Meridian,MS,39307
500 Hugh N Clayton Drive  (MS-15),New Albany,MS,38652
1232 I-20 Frontage North,Jackson,MS,39201
I-55,Canton,MS,39046
2546 South Gallatin Street,Jackson,MS,39204
McCullough Boulevard  (MS-178),Tupelo,MS,38804
561 Business Hub Drive,Belgrade,MT,59714
12241 MT-16,Sidney,MT,59270
71 MT-16,Glendive,MT,59330
8018 West Broadway Street,Missoula,MT,59808
2419 North Frontage Road,Billings,MT,59101
"I-90, US-12",Missoula,MT,59802
273 13th Street West,Hardin,MT,59034
8th Avenue,Columbus,MT,59019
1262 South Haynes Avenue  (MT-59),Miles City,MT,59301
Nissler Road,Butte,MT,59701
Wilson Avenue,Shelby,MT,59474
5 Farm Road,Three Forks,MT,59752
415 Diamond Road  (MT-257),Superior,MT,59872
"US-12, US-93",Lolo,MT,59847
Amsterdam Road  (Route 347),Belgrade,MT,59714
2775 Old Hardin Road,Billings,MT,59101
Browns Gulch Road  (MT-276),Butte,MT,59701
38th Avenue Southwest,Great Falls,MT,59404
11410 South Frontage Road,Laurel,MT,59044
MT-47,Hardin,MT,59034
3928 Byrne Trail,Great Falls,MT,59404
"8839 US-93, MT-200",Missoula,MT,59808
6122 US-2,Columbia Falls,MT,59912
150 Old Mocksville Road  (NC-2206),Statesville,NC,28625
729 Holiday Loop Road  (Route 2594),Reidsville,NC,27320
1331 Westpoint Drive  (Route 1626),Charlotte,NC,28214
I-95,Kenly,NC,27542
"I-40, US-74",Candler,NC,28715
145 Plaza Lane,Mount Airy,NC,27030
4878 Independence Boulevard  (US-74),Monroe,NC,28110
"1006 Charlotte Highway  (US-21, NC-115)",Troutman,NC,28166
I-40,Marion,NC,28752
873 Long Branch Road  (NC-1002),Dunn,NC,28334
1043 Jimmy Kerr Road  (NC-1928),Haw River,NC,27258
350 Cummins Drive,Kenly,NC,27542
1678 US-601,Mocksville,NC,27028
Lane Parkway  (Route 2760),Salisbury,NC,28146
"I-40, I-85",Burlington,NC,27215
9 Sadler Road,Dunn,NC,28334
3910 Beasley Lane  (Route 2178),Charlotte,NC,28206
1313 Rock Barn Road Northeast,Conover,NC,28613
907 Knox Road,Mc Leansville,NC,27301
950 Jimmy Kerr Road  (NC-1928),Haw River,NC,27258
3367 Sugar Hill Road  (NC-1000),Marion,NC,28752
176 Furniture Drive  (Route 2758),Salisbury,NC,28147
96 Truck Stop Road  (NC-2399),Kenly,NC,27542
West College Street  (NC-24 Business),Warsaw,NC,28398
"I-73, I-74, US-220",Candor,NC,27229
3170 NC-10,Newton,NC,28658
"I-40, I-85",Mebane,NC,27302
I-95,Benson,NC,27504
Crabtree Road  (NC-209),Waynesville,NC,28785
Buckhorn Road  (NC-1114),Mebane,NC,27302
2825 Lane Street,Kannapolis,NC,28083
1342 Trollingwood Hawfields Road  (NC-1981),Mebane,NC,27302
2030 NC-48,Pleasant Hill,NC,27866
1917 45th Street South,Fargo,ND,58103
ND-68,Alexander,ND,58831
I-94 Business,Mandan,ND,58554
1st Avenue Northwest  (ND-16),Beach,ND,58621
3951 32nd Avenue South,Fargo,ND,58104
4759 32nd Avenue South,Grand Forks,ND,58201
3930 32nd Avenue South,Fargo,ND,58104
Access Road,Minot,ND,58701
64th Street Northwest,Williston,ND,58801
57th Street Northwest  (US-85 Business),Williston,ND,58801
822 8th Street,Aurora,NE,68818
Route 15,Wood River,NE,68883
I-80,Lincoln,NE,68528
I-80,Ogallala,NE,69153
26120 East Meigs Street,Valley,NE,68064
5085 Buffalo Creek Road,Elm Creek,NE,68836
3396 West Camp Augustine Road,Grand Island,NE,68803
11775 South Nebraska Hwy 11,Wood River,NE,68883
Circle Road,Big Springs,NE,69122
Lincoln Avenue West,York,NE,68467
15136 South 216th Street  (NE-31),Gretna,NE,68028
Newberry Road,North Platte,NE,69101
225 North 30th Road  (NE-50),Syracuse,NE,68446
Monroe Avenue,Norfolk,NE,68701
Road 115,Sidney,NE,69162
3211 Newberry Road,North Platte,NE,69101
1628 Greenland Road  (NH-33),Portsmouth,NH,03801
744 NH-3 A,BOW,NH,03304
NJ-173,Bloomsbury,NJ,08804
I-80,Columbia,NJ,07832
"I-295, US-130",Paulsboro,NJ,08066
Rising Sun Road,Bordentown,NJ,08505
979 NJ-173,Bloomsbury,NJ,08804
2 Charlestown Road  (Route 635),Hampton,NJ,08827
606 South Pennsville Auburn Road,Penns Grove,NJ,08069
308 Hawks Bridge Road  (NJ-140),Penns Grove,NJ,08069
1470 US-46,Netcong,NJ,07857
1060 US-206,Bordentown,NJ,08505
392 Doremus Avenue,Newark,NJ,07105
17 NJ-23,Montague,NJ,07827
228 NJ-17,Mahwah,NJ,07430
1 Giant Crossing,Continental Divide,NM,87312
Pan American Freeway Northeast  (I-25 Service North),Albuquerque,NM,87107
1808 Abrahames Road West  (I-40 Service West),Moriarty,NM,87035
2439 North Grand Avenue  (I-25 Business),Las Vegas,NM,87701
522 East Kansas Avenue  (NM-128),Jal,NM,88252
I-40,Gallup,NM,87301
Horizon Boulevard  (NM-605),Milan,NM,87021
2681 West Amador Avenue  (NM-342),Las Cruces,NM,88005
West Historic 66  (NM-118),Gallup,NM,87301
"Andrews Highway  (NM-176, NM-234)",Eunice,NM,88231
Central Avenue Northwest,Albuquerque,NM,87121
"I-10, US-70, US-180",Las Cruces,NM,88007
1431 Pinon Drive,Milan,NM,87021
204 North Motel Boulevard  (NM-292),Las Cruces,NM,88007
1509 North 15th Street,Eunice,NM,88231
NM-156,Santa Rosa,NM,88435
13 Carl Cannon Ranch Road  (A Route 110),Moriarty,NM,87035
Coronado Freeway  (I-40),Albuquerque,NM,87104
14150 NM-418,Deming,NM,88030
10139 Avalon Road Northwest,Albuquerque,NM,87121
23 Sunset Avenue,Lordsburg,NM,88045
2021 South Mountain Road,Tucumcari,NM,88401
South Goings Lane,Hobbs,NM,88240
East Main Street  (US-82),Artesia,NM,88210
Camino del Llano,Belen,NM,87002
3170 South Canal Street  (US-285),Carlsbad,NM,88220
"I-40, US-54",Tucumcari,NM,88401
I-10,Lordsburg,NM,88045
"1128 East Motel Drive  (US-70, I-10 Business)",Lordsburg,NM,88045
"4210 Mabry Drive  (US-60, US-70, US-84)",Clovis,NM,88101
I-40,Santa Rosa,NM,88435
"4654 Mabry Drive  (US-60, US-70, US-84)",Clovis,NM,88101
799 South Front Street,Clayton,NM,88415
"3738 Will Rogers Drive  (US-54, US-84, I-40 Business)",Santa Rosa,NM,88435
Dean Martin Drive,Las Vegas,NV,89139
"I-80, US-95",Winnemucca,NV,89445
"825 East Main Street  (US-50 Alternate, US-95 Alternate)",Fernley,NV,89408
908 Prospect Avenue,Sparks,NV,89431
77 Front Street  (NV-304),Battle Mountain,NV,89820
Lower Flat Top Drive,Mesquite,NV,89027
130 US-93,Wells,NV,89835
I-80,Fernley,NV,89408
465 West Main Street  (NV-427),Fernley,NV,89408
4501 Mitchell Street,North Las Vegas,NV,89030
791 Fir Street,Carlin,NV,89822
156 US-93,Wells,NV,89835
1298 West Wendover Boulevard,West Wendover,NV,89883
"Great Basin Boulevard  (US-6, US-50, US-93)",Ely,NV,89301
8458 Speedway Boulevard,Las Vegas,NV,89115
1975 East Greg Street,Sparks,NV,89431
1620 West Winnemucca Boulevard  (US-95),Winnemucca,NV,89445
West Primm Boulevard,Sloan,NV,89054
US-93,Henderson,NV,89011
West Winnemucca Boulevard,Winnemucca,NV,89445
157 US-93,Wells,NV,89835
New York State Thruway  (I-90),Corfu,NY,14036
Access Road,Kirkwood,NY,13795
New York State Thruway  (I-90),Fultonville,NY,12072
2 Skyers Lane,Newburgh,NY,12550
Genesee Expressway  (I-390),Dansville,NY,14437
Homestead Avenue  (NY-208),Montgomery,NY,12549
8484 Alleghany Road  (NY-77),Corfu,NY,14036
147 Colesville Road  (Route 52),Binghamton,NY,13904
54 Terminal Road,Liverpool,NY,13088
1238 Ridge Road  (NY-414),Waterloo,NY,13165
1128 Duanesburg Road  (NY-7),Schenectady,NY,12306
7759 Main Street  (NY-53),Bath,NY,14810
NY-22,Canaan,NY,12029
995 US-9,Castleton on Hudson,NY,12033
6140 US-127,Eaton,OH,45320
Lancaster Road Southwest  (OH-37),Hebron,OH,43025
1435 Cincinnati Street,Dayton,OH,45417
Old US-35,Jeffersonville,OH,43128
1110 North London Delaware Road  (US-42),London,OH,43140
I-71,Lebanon,OH,45036
1118 East Main Street,Chillicothe,OH,45601
3840 Greentree Southwest,Canton,OH,44706
275 Northwoods Boulevard,Vandalia,OH,45377
9196 Center Road  (OH-45),Austinburg,OH,44010
414 East Main Street  (OH-696),Beaverdam,OH,45808
"7735 US-36, OH-37",Sunbury,OH,43074
Flying J Drive,Hubbard,OH,44425
OH-41,Washington Court House,OH,43160
10509 Baltimore Road Southwest  (OH-158),Millersport,OH,43046
26418 Warns Drive,Perrysburg,OH,43551
"I-76, US-224",Seville,OH,44273
I-77,North Canton,OH,44720
71 Pittsburgh Road,Circleville,OH,43113
174 Comfort Drive,Upper Sandusky,OH,43351
1009 OH-97,Mansfield,OH,44904
"2316 North Main Street Southeast  (US-62, OH-7)",Hubbard,OH,44425
1887 Ridge Road,Springfield,OH,45502
Fair Road  (Route 8),Sidney,OH,45365
26440 Baker Drive,Perrysburg,OH,43551
10466 Lancaster Road Southwest  (OH-37),Hebron,OH,43025
Hazelwood Drive,Eaton,OH,45320
12906 Deshler Road  (OH-18),North Baltimore,OH,45872
Industrial Drive,Napoleon,OH,43545
9798 National Road  (US-40),New Paris,OH,45347
1301 North Warpole Street  (OH-199),Upper Sandusky,OH,43351
Salt Springs Youngstown Road  (Route 64),Girard,OH,44420
2 Ohio MacHinery Boulevard,Girard,OH,44420
10341 Avon Lake Road  (OH-83),Burbank,OH,44214
2 Love's Drive,Conneaut,OH,44030
3683 Bahnsen Road,Millbury,OH,43447
13166 Deshler Road  (OH-18),North Baltimore,OH,45872
11471 OH-613,Van Buren,OH,45889
"Ohio Turnpike  (I-80, I-90)",Perrysburg,OH,43551
477 South 3rd Street,Steubenville,OH,43952
I-80,Youngstown,OH,44515
I-90,Kingsville,OH,44048
1037 North Wilson Road,Columbus,OH,43204
10020 Avon Lake Road  (OH-83),Burbank,OH,44214
16941 McConnelsville Road  (OH-78),Caldwell,OH,43724
Sidley Court,Austinburg,OH,44010
5707 Cerni Place,Youngstown,OH,44515
Colorado Avenue  (OH-611),Avon,OH,44011
2989 Southgate Road  (OH-209),Cambridge,OH,43725
94 Pittsburgh Road,Circleville,OH,43113
6836 Franklin Lebanon Road  (OH-123),Franklin,OH,45005
10920 Market Street  (OH-7),North Lima,OH,44452
3448 Libbey Road  (Route 308),Perrysburg,OH,43551
8924 Lake Road  (Route 19),Seville,OH,44273
"7686 US-36, OH-37",Sunbury,OH,43074
5852 Hagman Road,Toledo,OH,43612
5772 US-68,Wilmington,OH,45177
I-70,Zanesville,OH,43701
Parking Lot,Richfield,OH,44286
1365 North London Delaware Road  (US-42),London,OH,43140
466 OH-61,Marengo,OH,43334
7545 East Lincoln Highway  (OH-696),Beaverdam,OH,45808
1960 Rodney Pike  (OH-850),Bidwell,OH,45614
13023 Old US-35,Jeffersonville,OH,43128
1770 East Bellefontaine Street,Wapakoneta,OH,45895
66365 Belmont Morristown Road  (OH-149),Belmont,OH,43718
5899 South Radio Road,El Reno,OK,73036
"I-40, US-270",Oklahoma City,OK,73128
601 South Morgan Road,Oklahoma City,OK,73128
5270 Northeast 122nd Street,Edmond,OK,73013
I-40,Sayre,OK,73662
3096 North 32nd Street  (US-69),Muskogee,OK,74401
I-40,Elk City,OK,73644
16501 E0250 Road,Tonkawa,OK,74653
"South Mississippi Avenue  (US-69, US-75)",Atoka,OK,74525
"I-35 Service North, US-77 Service North",Oklahoma City,OK,73149
"504 West Cherokee Street  (OK-19, OK-76)",Lindsay,OK,73052
US-60,Tonkawa,OK,74653
6901 South Choctaw Road,Choctaw,OK,73020
2450 Cooper Drive,Ardmore,OK,73401
N4200 Road,Checotah,OK,74426
"2400 South Street 4th  (US-283, I-40 Business)",Sayre,OK,73662
717 South Morgan Road,Oklahoma City,OK,73128
4801 Northeast 122nd Street,Edmond,OK,73013
193 North 129th East Avenue,Tulsa,OK,74116
East Box Avenue,Okmulgee,OK,74447
20 South Martin Luther King Avenue,Oklahoma City,OK,73117
"Owen K Garriott Road  (US-64, US-412)",Enid,OK,73701
"US-377, OK-99",Seminole,OK,74868
I-40,Clinton,OK,73601
I-40,Erick,OK,73645
2600 Van Buren Street,Norman,OK,73072
OK-100,Gore,OK,74435
"Pioneer Expressway  (I-44, US-62, US-277)",Elgin,OK,73538
919 Holiday Drive,Ardmore,OK,73401
Longnecker Street,Hooker,OK,73945
"US-59, US-412",Watts,OK,74964
111 East C Street,Atoka,OK,74525
"I-40, US-270",Oklahoma City,OK,73128
I-40,Okemah,OK,74859
US-69,Chouteau,OK,74337
Lyle Rymer Highway  (US-64),Roland,OK,74954
US-69 Business,Eufaula,OK,74432
472 South Morgan Road,Oklahoma City,OK,73128
"Main Street  (US-56, US-64, US-412)",Boise City,OK,73933
7415 South Choctaw Road,Choctaw,OK,73020
47 Platter Road  (East 2140),Calera,OK,74730
US-169,Nowata,OK,74048
378 North 42nd Street,Enid,OK,73701
271 Northwest 24th Street,Newcastle,OK,73065
West Airline Road,Pauls Valley,OK,73075
"US-70, US-277, US-281",Randlett,OK,73562
"North Broadway Avenue  (US-281, OK-8)",Hinton,OK,73047
Southwest 59th Street,Union City,OK,73090
US-54,Texhoma,OK,73949
OK-33,Guthrie,OK,73044
US-70,Valliant,OK,74764
288 Grant Smith Road,Roseburg,OR,97471
3735 Fern Valley Road,Phoenix,OR,97535
551 Northwest Culpepper Drive,Troutdale,OR,97060
6541 Old Salem Road Northeast,Albany,OR,97321
Bond Lane,La Grande,OR,97850
Tower Road,Boardman,OR,97818
I-5,Aurora,OR,97002
Umatilla-Stanfield Highway  (US-395),Stanfield,OR,97875
Truckman Way Northeast,Salem,OR,97303
105 South Peninger Road,Central Point,OR,97502
760 John Long Road,Oakland,OR,97462
730 Northeast 2nd Avenue,Ontario,OR,97914
91484 Biggs Rufus Highway,Wasco,OR,97065
551 Northwest Culpepper Drive,Troutdale,OR,97060
Pacific Highway  (I-5),Eugene,OR,97408
Northwest Washington Avenue  (US-30 Business),Ontario,OR,97914
12334 Ehlen Road Northeast,Aurora,OR,97002
3875 The Dalles-California Highway  (US-97),Klamath Falls,OR,97601
399 Damon Street,Chemult,OR,97731
Emlenton Clintonville Road  (PA-208),Emlenton,PA,16373
I-80,Harrisville,PA,16038
I-80,Bloomsburg,PA,17815
1017 New Castle Road  (PA-108),Slippery Rock,PA,16057
2757 East Mattie Road  (PA-2029),Breezewood,PA,15533
1201 Harrisburg Pike  (US-11),Carlisle,PA,17013
Suedberg Road  (PA-443),Pine Grove,PA,17963
I-81,Harrisburg,PA,17112
"I-80, US-220",Mill Hall,PA,17751
Suedberg Road  (PA-443),Pine Grove,PA,17963
"I-80, US-220 Alternate",Milesburg,PA,16853
Grove Street,Pittston,PA,18641
331 West Third Street  (PA-339),Mifflinville,PA,18631
I-80,Brookville,PA,15825
Flying J Drive,Carlisle,PA,17015
Nittany Valley Drive  (PA-64),Mill Hall,PA,17751
Harford Road  (PA-848),New Milford,PA,18834
7938 Jonestown Road,Harrisburg,PA,17112
Flying J Drive,Carlisle,PA,17015
Motel Drive,Hamburg,PA,19526
Fitz Henry Road  (PA-3031),Smithton,PA,15479
Linglestown Road  (PA-39),Harrisburg,PA,17112
139 Post House Road  (Route T503),Breezewood,PA,15533
Old Forge Road,Jonestown,PA,17038
"US-22, US-322",Duncannon,PA,17020
2210 Camp Swatara Road  (PA-645),Myerstown,PA,17067
2057 Vine Street,Middletown,PA,17057
I-80,Brookville,PA,15825
I-81,Greencastle,PA,17225
1460 Ridge Road,Milton,PA,17847
1161 Harrisburg Pike  (US-11),Carlisle,PA,17013
49 Old Berwick Road,Drums,PA,18222
I-90,Erie,PA,16509
187 Wilson Road,Bentleyville,PA,15314
4106 Depot Road  (PA-531),Erie,PA,16510
1742 Rich Highway  (US-219),Du Bois,PA,15801
Hillside Avenue,Pittston,PA,18640
5855 Nittany Valley Drive  (PA-64),Mill Hall,PA,17751
3582 New Castle Road  (US-422),Portersville,PA,16051
Victory Highway  (RI-102),West Greenwich,RI,02817
I-85,Duncan,SC,29334
Yemassee Highway  (SC-68),Yemassee,SC,29945
I-95,Manning,SC,29102
North Rhett Avenue,Charleston,SC,29406
West Freight Road,Florence,SC,29501
358 Longs Pond Road,Lexington,SC,29073
I-85,Blacksburg,SC,29702
8902 Cherokee Foothills Scenic Highway  (SC-11),Campobello,SC,29322
2150 South Beltline Boulevard,Columbia,SC,29201
North Mountain Street  (SC-198),Blacksburg,SC,29702
1403 Buckner Road,Columbia,SC,29203
Mill Branch Road,Latta,SC,29565
893 Caterpillar Drive,Rock Hill,SC,29730
1405 East Main Street  (SC-290),Duncan,SC,29334
506 Bettis Academy Road  (Route 144),Graniteville,SC,29829
15976 Whyte Hardee Boulevard  (US-17),Hardeeville,SC,29927
2218 Babar Lane,Florence,SC,29501
516 US-601,Lugoff,SC,29078
"3008 Charleston Highway  (US-21, US-176, US-321)",West Columbia,SC,29172
Market Place,Prosperity,SC,29127
SC-200,Blackstock,SC,29014
105 Doyle Street,Saint George,SC,29477
120 Misty Glen Road,Saint George,SC,29477
645 Hackett Drive,Rock Hill,SC,29730
Burke Road,Saint Matthews,SC,29135
1340 Sumter Highway  (US-15),Bishopville,SC,29010
1584 SC-38,Latta,SC,29565
Cherry Road  (US-21),Fort Mill,SC,29715
2319 West Lucas Street  (US-52),Florence,SC,29501
2064 Homestead Road,Bowman,SC,29018
Commerce Avenue,Clinton,SC,29325
Alex Lee Boulevard,Florence,SC,29506
Elrod Road,Piedmont,SC,29673
1521 North Main Street  (US-17 Alternate),Summerville,SC,29486
4240 Old Dobbins Bridge Road,Fair Play,SC,29643
116 Priester Road,Blacksburg,SC,29702
5983 SC-219,Newberry,SC,29108
921 Hyatt Street  (SC-105),Gaffney,SC,29341
3103 Five Chop Road  (US-301),Orangeburg,SC,29115
111 Plumbers Road,Columbia,SC,29203
Bluff Road  (SC-48),Columbia,SC,29201
805 Jedburg Road,Summerville,SC,29483
1877 SC-34,Dillon,SC,29536
1971 North Elk Vale Road,Rapid City,SD,57701
Fire House Road,Hermosa,SD,57744
Liberty Boulevard,Box Elder,SD,57719
2739 Deadwood Avenue  (SD-445),Rapid City,SD,57702
North Granite Lane,Sioux Falls,SD,57107
North Cliff Avenue  (SD-115),Sioux Falls,SD,57104
I- 90 Business Loop  (Loop I-90),Murdo,SD,57559
Seven D Road,Fort Stockton,TX,79735
778 South Grandview Avenue,Odessa,TX,79761
"River Street  (TX-16, TX-72)",Tilden,TX,78072
US-277,Eagle Pass,TX,78852
2307 Avenue F Northwest  (US-287),Childress,TX,79201
I-35,Pearsall,TX,78061
"North Main Street  (US-377, Loop TX-481)",Junction,TX,76849
2807 Lamesa Highway  (North US-87),Big Spring,TX,79720
I-20 Service East,Cisco,TX,76437
Isleib Road,Beasley,TX,77417
I-20 Service West,Baird,TX,79504
US-83,Carrizo Springs,TX,78834
206 Irving Drive,Lufkin,TX,75901
West Commerce Street  (US-79),Buffalo,TX,75831
10800 US-183,Buda,TX,78610
TX-158,Midland,TX,79706
John Davis Road,Italy,TX,76651
4960 US-59,Wharton,TX,77488
15784 Market Street,Houston,TX,77015
I-40 Service East,Vega,TX,79092
709 US-77,Schulenburg,TX,78956
301 US-77,Hillsboro,TX,76645
5377 I-20 Service East,Midland,TX,79706
940 North Dumas Avenue  (US-287),Dumas,TX,79029
Pasadena Freeway  (TX-225 Service West),Pasadena,TX,77506
1415 US-287,Quanah,TX,79252
I-20 Service West,Van,TX,75790
"South Poplar Street  (US-287, TX-15)",Stratford,TX,79084
FM Route 523,Angleton,TX,77515
22406 US-59 Frontage North,Queen City,TX,75572
931 West 1st Street  (US-60),Hereford,TX,79045
13866 FM Route 1945,Sinton,TX,78387
2913 US-271,Paris,TX,75460
Smith Road,Beaumont,TX,77713
4073 North Elm Street  (US-77),Denton,TX,76207
"US-81 Service North, US-287 Service North",Rhome,TX,76078
West Trinity Boulevard,Grand Prairie,TX,75050
US-380,Bridgeport,TX,76426
1678 South Central Avenue  (I-35 Service South),Troy,TX,76579
8702 Telephone Road  (TX-35),Houston,TX,77061
209 Main Street,Ennis,TX,75119
1497 US-281,Falfurrias,TX,78355
406 Barthold Road,Denton,TX,76207
3750 US-285,Balmorhea,TX,79718
Standard Avenue,Kermit,TX,79745
2426 California Avenue  (TX-17),Pecos,TX,79772
3752 FM Route 2021,Lufkin,TX,75901
Cottonwood Drive,Hempstead,TX,77445
"I-2 Service East, South Service US-83",Donna,TX,78537
Meteor Crater Road,Odessa,TX,79763
Bernardo Road  (FM Route 2761),Cat Spring,TX,78933
1399 Hillcrest Drive South  (TX-19),Sulphur Springs,TX,75482
Loop TX-467,Sonora,TX,76950
Loop Road  (Loop TX-464),Monahans,TX,79756
604 Jim Sharp Boulevard  (TX-302),Kermit,TX,79745
"TX-191, TX-158 Business",Midland,TX,79706
1775 South Stockton Avenue  (TX-18),Monahans,TX,79756
6915 FM Route 511,Brownsville,TX,78526
1058 Deep Springs Road,Dandridge,TN,37725
272 Hebron Drive,Stanton,TN,38069
I-24,Antioch,TN,37013
Peytonsville Road,Franklin,TN,37064
5427 North National Drive,Knoxville,TN,37914
425 Van Hill Road,Greeneville,TN,37745
Strawberry Plains Pike,Knoxville,TN,37914
352 Lovell Road  (TN-131),Knoxville,TN,37934
1208 Bunker Hill Road,Cookeville,TN,38506
140 Providence Road  (TN-138),Denmark,TN,38391
5973 Miller Lane,Christiana,TN,37037
1408 TN-96,Fairview,TN,37062
I-40,Silver Point,TN,38582
Everett Road,Knoxville,TN,37932
North Watt Road,Knoxville,TN,37932
104 North 2nd Street,Nashville,TN,37213
Lovell Road  (TN-131),Knoxville,TN,37934
"3421 Lamar Avenue  (US-78, TN-4)",Memphis,TN,38118
I-40,Lenoir City,TN,37771
"I-75, TN-63",Pioneer,TN,37847
175 May Boulevard,Mc Donald,TN,37353
"I-155, US-412",Dyersburg,TN,38024
927 TN-76,White House,TN,37188
357 Howard Baker Highway  (TN-63),Pioneer,TN,37847
456 Trussell Road,Monteagle,TN,37356
Bradford Boulevard,Gordonsville,TN,38563
Union Grove Road,Niota,TN,37826
13491 Hines Valley Road,Knoxville,TN,37932
2971 TN-48,Dickson,TN,37055
3661 Roy Messer Highway  (TN-341),White Pine,TN,37890
177 Luyben Hills Road,Kingston Springs,TN,37082
"292 West Trinity Lane  (US-431, TN-65)",Nashville,TN,37207
"5025 Lamar Avenue  (US-78, TN-4)",Memphis,TN,38118
"Highway 70 East  (US-70, TN-1)",Jackson,TN,38305
2360 Lawnville Road,Kingston,TN,37763
5215 South Middlebrook Pike,Knoxville,TN,37921
Baileyton Road  (TN-172),Greeneville,TN,37745
427 TN-13,Hurricane Mills,TN,37078
149 Industrial Boulevard,La Vergne,TN,37086
I-40,Dandridge,TN,37725
32 Sand Pebble Drive,Jackson,TN,38305
East Raccoon Valley Drive  (TN-170),Heiskell,TN,37754
4810 Pleasant Run Road,Memphis,TN,38118
"8821 Lewisburg Highway  (US-31 A, TN-11)",Cornersville,TN,37047
159 Livestock Road,Dickson,TN,37055
Alligood Way,Lebanon,TN,37090
I-81,White Pine,TN,37890
170 Antique Village Drive,Crossville,TN,38571
Centennial Boulevard,Nashville,TN,37209
"US-45, TN-5",Ramer,TN,38367
200 Lower River Road Northwest  (TN-308),Charleston,TN,37310
2440 South Church Street  (US-231),Murfreesboro,TN,37128
298 TVA Road,Jasper,TN,37347
1627 Bear Creek Pike  (TN-99),Columbia,TN,38401
4020 North McCarty Street  (US-90 Business),Houston,TX,77013
Pederson Road,Katy,TX,77494
I-30 Service East,Rockwall,TX,75032
388 Owen Street,Lubbock,TX,79403
"I-40, US-287",Amarillo,TX,79104
North Loop TX-338,Odessa,TX,79761
1644 East Kuhn Street,Edinburg,TX,78542
I-35 Service South,Natalia,TX,78059
14578 I-35 Service South,Atascosa,TX,78002
Leary Road  (FM Route 2253),Texarkana,TX,75501
547 East Vinton Road  (Spur TX-37),Anthony,TX,79821
South Lakeside Drive  (TX-335 Loop),Amarillo,TX,79118
